Date,predicted_mean
2022-06-05,1130.9057501933298
2022-06-12,1130.9057501933298
2022-06-19,1130.9057501933298
2022-06-26,1130.9057501933298
2022-07-03,1130.9057501933298
2022-07-10,1130.9057501933298
2022-07-17,1130.9057501933298
2022-07-24,1130.9057501933298
2022-07-31,1130.9057501933298
2022-08-07,1130.9057501933298
2022-08-14,1130.9057501933298
2022-08-21,1130.9057501933298
2022-08-28,1130.9057501933298
2022-09-04,1130.9057501933298
2022-09-11,1130.9057501933298
2022-09-18,1130.9057501933298
2022-09-25,1130.9057501933298
2022-10-02,1130.9057501933298
2022-10-09,1130.9057501933298
2022-10-16,1130.9057501933298
2022-10-23,1130.9057501933298
2022-10-30,1130.9057501933298
2022-11-06,1130.9057501933298
2022-11-13,1130.9057501933298
